id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,is_valid,target_label,group_key
job_169_Al_fe_-0.916_n4_generated_crystals_cif__gen_2,3,-2.1,-2.099778413772583,-3.1715238094329834,0.000221586227417,greedy,0,0,LiAl2O4
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_0,3,-2.1,-2.098762989044189,-2.0219147205352783,0.001237010955811,greedy,1,1,LiMn2O4
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_3,3,-2.1,-2.09791111946106,-1.9228596687316888,0.00208888053894,greedy,0,0,LiMn2O4
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_3,3,-2.1,-2.1030423641204834,-2.002866506576538,0.0030423641204833,greedy,0,0,LiMn2O4
job_162_Mn_fe_-1.493_n4_generated_crystals_cif__gen_0,3,-2.1,-2.0965137481689453,-2.0029783248901367,0.0034862518310547,greedy,0,0,LiMn2O4
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_2,3,-2.1,-2.094390392303467,-2.009329319000244,0.0056096076965332,greedy,0,0,LiMn2O4
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_0,3,-2.1,-2.106052875518799,-1.9899033308029173,0.0060528755187987,greedy,0,0,LiMn2O4
job_229_Al_fe_-1.076_n4_generated_crystals_cif__gen_2,3,-2.1,-2.106945037841797,-3.067518472671509,0.0069450378417967,greedy,0,0,LiAl2O4
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_3,3,-2.1,-2.108293294906616,-2.0107548236846924,0.0082932949066161,greedy,0,0,LiMn2O4
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3,3,-2.1,-2.109140157699585,-2.023138999938965,0.0091401576995848,greedy,1,1,LiMn2O4
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,3,-2.1,-2.0905113220214844,-2.036665916442871,0.0094886779785157,greedy,1,1,LiCr2O4
job_224_Mn_fe_-1.419_n4_generated_crystals_cif__gen_0,3,-2.1,-2.110990047454834,-2.018557071685791,0.0109900474548338,greedy,0,0,LiMn2O4
job_246_Al_fe_-1.026_n4_generated_crystals_cif__gen_2,3,-2.1,-2.1113409996032715,-2.986004590988159,0.0113409996032713,greedy,0,0,LiAl2O4
job_010_Al_fe_-1.346_n4_generated_crystals_cif__gen_3,3,-2.1,-2.1126596927642822,-3.1556925773620605,0.0126596927642821,greedy,0,0,LiAl2O4
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_3,3,-2.1,-2.087339162826538,-1.9298725128173828,0.012660837173462,greedy,0,0,LiMn2O4
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_0,3,-2.1,-2.084825277328491,-2.0049145221710205,0.0151747226715088,greedy,0,0,LiMn2O4
job_249_Cr_fe_-1.500_n4_generated_crystals_cif__gen_3,4,-2.1,-2.1010565757751465,-2.196943044662476,0.0010565757751463,greedy,0,0,LiCr2O4
job_220_Cr_fe_-1.305_n4_generated_crystals_cif__gen_2,4,-2.1,-2.0967459678649902,-2.1609792709350586,0.0032540321350098,greedy,1,1,LiCr2O4
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_2,4,-2.1,-2.103961944580078,-2.129879713058472,0.003961944580078,greedy,1,1,LiCr2O4
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_3,4,-2.1,-2.0887153148651123,-2.163705587387085,0.0112846851348877,greedy,1,1,LiCr2O4
job_171_Cr_fe_-1.042_n4_generated_crystals_cif__gen_3,4,-2.1,-2.0879337787628174,-2.135138750076294,0.0120662212371827,greedy,1,1,LiCr2O4
