id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,is_valid,target_label,group_key
job_160_Ti_fe_-1.290_n4_generated_crystals_cif__gen_2,3,-2.1,-3.6089370250701904,-3.230051755905152,1.5089370250701903,dropout,0,0,LiTi2O4
job_238_Ti_fe_-0.855_n4_generated_crystals_cif__gen_0,3,-2.1,-3.599482774734497,-3.238698720932007,1.499482774734497,dropout,0,0,LiTi2O4
job_186_Ti_fe_-0.814_n4_generated_crystals_cif__gen_0,3,-2.1,-3.5982308387756348,-3.218111991882324,1.498230838775635,dropout,0,0,LiTi2O4
job_137_Al_fe_-1.012_n4_generated_crystals_cif__gen_1,3,-2.1,-2.573392629623413,-2.91833758354187,0.473392629623413,dropout,0,0,LiAl2O4
job_099_Ni_fe_-1.343_n4_generated_crystals_cif__gen_2,3,-2.1,-1.2541379928588867,-1.0705647468566897,0.8458620071411134,dropout,0,0,Li(NiO2)2
job_184_Co_fe_-1.469_n4_generated_crystals_cif__gen_1,3,-2.1,-1.6366881132125854,-1.3748714923858645,0.4633118867874146,dropout,0,0,Li(CoO2)2
job_184_Co_fe_-1.469_n4_generated_crystals_cif__gen_0,3,-2.1,-1.6329047679901123,-1.350908875465393,0.4670952320098878,dropout,0,0,Li(CoO2)2
job_104_Ni_fe_-1.453_n4_generated_crystals_cif__gen_0,3,-2.1,-1.232264757156372,-1.0721954107284546,0.867735242843628,dropout,0,0,Li(NiO2)2
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_2,3,-2.1,-2.089254856109619,-1.933753609657288,0.0107451438903809,dropout,0,0,LiMn2O4
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_1,3,-2.1,-2.114023208618164,-1.92506754398346,0.0140232086181639,dropout,0,0,LiMn2O4
job_118_Mn_fe_-1.458_n4_generated_crystals_cif__gen_3,3,-2.1,-2.120370864868164,-1.945816159248352,0.0203708648681639,dropout,0,0,LiMn2O4
job_197_Mn_fe_-0.871_n4_generated_crystals_cif__gen_1,3,-2.1,-2.0774707794189453,-1.8706523180007928,0.0225292205810547,dropout,0,0,LiMn2O4
job_164_Mn_fe_-1.449_n4_generated_crystals_cif__gen_1,3,-2.1,-2.1227469444274902,-1.9572625160217283,0.0227469444274901,dropout,0,0,LiMn2O4
