candidate_id,group_key
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_1,SM_Mn_007
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_2,SM_Mn_004
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_3,SM_Mn_006
job_031_Al_fe_-1.055_n4_generated_crystals_cif__gen_0,SM_Al_005
job_031_Al_fe_-1.055_n4_generated_crystals_cif__gen_1,SM_Al_006
job_032_Co_fe_-1.386_n4_generated_crystals_cif__gen_0,SM_Co_004
job_032_Co_fe_-1.386_n4_generated_crystals_cif__gen_1,SM_Co_006
job_032_Co_fe_-1.386_n4_generated_crystals_cif__gen_2,SM_Co_006
job_032_Co_fe_-1.386_n4_generated_crystals_cif__gen_3,SM_Co_004
job_033_Co_fe_-1.353_n4_generated_crystals_cif__gen_2,SM_Co_001
job_034_Co_fe_-1.009_n4_generated_crystals_cif__gen_0,SM_Co_001
job_034_Co_fe_-1.009_n4_generated_crystals_cif__gen_1,SM_Co_001
job_034_Co_fe_-1.009_n4_generated_crystals_cif__gen_2,SM_Co_001
job_034_Co_fe_-1.009_n4_generated_crystals_cif__gen_3,SM_Co_001
job_035_Ti_fe_-1.046_n4_generated_crystals_cif__gen_0,SM_Ti_007
job_035_Ti_fe_-1.046_n4_generated_crystals_cif__gen_1,SM_Ti_002
job_035_Ti_fe_-1.046_n4_generated_crystals_cif__gen_2,SM_Ti_009
job_036_Mg_fe_-1.056_n4_generated_crystals_cif__gen_1,SM_Mg_002
job_038_Ni_fe_-1.176_n4_generated_crystals_cif__gen_0,SM_Ni_002
job_038_Ni_fe_-1.176_n4_generated_crystals_cif__gen_1,SM_Ni_004
job_038_Ni_fe_-1.176_n4_generated_crystals_cif__gen_2,SM_Ni_005
job_038_Ni_fe_-1.176_n4_generated_crystals_cif__gen_3,SM_Ni_003
job_039_Co_fe_-0.807_n4_generated_crystals_cif__gen_0,SM_Co_003
job_039_Co_fe_-0.807_n4_generated_crystals_cif__gen_3,SM_Co_007
job_040_Ti_fe_-1.018_n4_generated_crystals_cif__gen_1,SM_Ti_002
job_041_Ni_fe_-1.021_n4_generated_crystals_cif__gen_0,SM_Ni_003
job_041_Ni_fe_-1.021_n4_generated_crystals_cif__gen_1,SM_Ni_003
job_041_Ni_fe_-1.021_n4_generated_crystals_cif__gen_3,SM_Ni_001
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_0,SM_Cr_008
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_1,SM_Cr_005
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_2,SM_Cr_006
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_3,SM_Cr_004
job_043_Mn_fe_-1.340_n4_generated_crystals_cif__gen_1,SM_Mn_004
job_043_Mn_fe_-1.340_n4_generated_crystals_cif__gen_3,SM_Mn_004
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_0,SM_Mn_005
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,SM_Mn_004
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_2,SM_Mn_004
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_3,SM_Mn_008
job_045_Al_fe_-1.313_n4_generated_crystals_cif__gen_0,SM_Al_003
job_045_Al_fe_-1.313_n4_generated_crystals_cif__gen_1,SM_Al_007
job_045_Al_fe_-1.313_n4_generated_crystals_cif__gen_3,SM_Al_008
job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_0,SM_Ni_006
job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_1,SM_Ni_007
job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_2,SM_Ni_003
job_046_Ni_fe_-0.861_n4_generated_crystals_cif__gen_3,SM_Ni_003
job_047_Mg_fe_-0.887_n4_generated_crystals_cif__gen_3,SM_Mg_004
