id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,P_hit,U_i,group_key,mode,is_valid,target_label
job_207_Cr_fe_-0.848_n4_generated_crystals_cif__gen_1,2,-2.1,-2.171290159225464,-2.204430341720581,-0.0712901592254637,gated_ta_dpp,0.3302618213221525,0.0451967908100103,LiCr2O4,dpp_diverse,0,0
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_3,2,-2.1,-2.187407255172729,-2.0285513401031494,-0.0874072551727289,gated_ta_dpp,0.2973726331538536,0.0565127304391556,LiMn2O4,dpp_diverse,1,1
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_0,2,-2.1,-2.1762168407440186,-2.2057487964630127,-0.0762168407440184,gated_ta_dpp,0.3199734156938487,0.0484589338443018,LiCr2O4,dpp_diverse,0,0
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_0,2,-2.1,-2.1794536113739014,-2.2145888805389404,-0.0794536113739012,gated_ta_dpp,0.3171056583521577,0.0487037244179641,LiCr2O4,dpp_diverse,0,0
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_3,2,-2.1,-2.1351523399353027,-2.1547746658325195,-0.0351523399353026,gated_ta_dpp,0.3109459965307881,0.0625339287972768,LiCr2O4,dpp_diverse,1,1
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_0,2,-2.1,-2.131054401397705,-2.138373851776123,-0.0310544013977049,gated_ta_dpp,0.3094491953282838,0.0637650223289065,LiCr2O4,dpp_diverse,1,1
job_133_Mn_fe_-1.385_n4_generated_crystals_cif__gen_2,2,-2.1,-2.132448673248291,-1.933753609657288,-0.0324486732482909,gated_ta_dpp,0.2718783051277508,0.0844948401740598,LiMn2O4,dpp_diverse,0,0
job_249_Cr_fe_-1.500_n4_generated_crystals_cif__gen_3,2,-2.1,-2.2111289501190186,-2.196943044662476,-0.1111289501190184,gated_ta_dpp,0.3063194821308991,0.0368255469529587,LiCr2O4,dpp_diverse,0,0
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0,2,-2.1,-2.1734635829925537,-2.1566174030303955,-0.0734635829925536,gated_ta_dpp,0.3034988727207238,0.05806972981453,LiCr2O4,dpp_diverse,1,1
job_229_Al_fe_-1.076_n4_generated_crystals_cif__gen_2,3,-2.1,-2.118767023086548,-3.067518472671509,-0.0187670230865477,gated_ta_dpp,0.5585937859121612,0.0,LiAl2O4,threshold_greedy,0,0
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_3,3,-2.1,-2.175233602523804,-1.9995641708374023,-0.075233602523804,gated_ta_dpp,0.4523888804845361,0.0002866519697111,LiMn2O4,threshold_greedy,0,0
job_240_Cr_fe_-1.413_n4_generated_crystals_cif__gen_2,3,-2.1,-2.1382439136505127,-2.160156488418579,-0.0382439136505126,gated_ta_dpp,0.4474669301793223,0.0085382359722147,LiCr2O4,threshold_greedy,1,1
job_162_Mn_fe_-1.493_n4_generated_crystals_cif__gen_0,3,-2.1,-2.1174206733703613,-2.0029783248901367,-0.0174206733703612,gated_ta_dpp,0.4412292226752476,0.0107062317814813,LiMn2O4,threshold_greedy,0,0
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_2,3,-2.1,-2.11625075340271,-2.139615058898926,-0.0162507534027098,gated_ta_dpp,0.4387591981890489,0.0110311652718804,LiCr2O4,threshold_greedy,1,1
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_2,3,-2.1,-2.115966558456421,-2.19545841217041,-0.0159665584564208,gated_ta_dpp,0.4339565609989948,0.0115906741309898,LiCr2O4,threshold_greedy,0,0
job_200_Cr_fe_-1.108_n4_generated_crystals_cif__gen_2,3,-2.1,-2.099427938461304,-2.187739610671997,0.0005720615386959,gated_ta_dpp,0.4252434984952719,0.0129030760830983,LiCr2O4,threshold_greedy,0,0
job_196_Cr_fe_-0.819_n4_generated_crystals_cif__gen_2,3,-2.1,-2.107451915740967,-2.1501615047454834,-0.0074519157409667,gated_ta_dpp,0.4232506245902785,0.0130798029296377,LiCr2O4,threshold_greedy,1,1
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_2,3,-2.1,-2.0514941215515137,-1.9489537477493288,0.0485058784484864,gated_ta_dpp,0.4195402899955746,0.0107561597901668,LiMn2O4,threshold_greedy,0,0
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_3,3,-2.1,-2.145141124725342,-1.9803466796875,-0.0451411247253417,gated_ta_dpp,0.4178069449078929,0.0113930610459185,LiMn2O4,threshold_greedy,0,0
