candidate_id,cohort,calculation_id,stage_role,functional,outcar_available,vasp_completed,electronic_converged,ionic_convergence_status,final_total_energy_eV,Fmax_eV_A,final_total_magnetic_moment,failure_reason,outcar_path,outcar_sha256,vasprun_path,output_provenance
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,new,tight_state_afm_01_tight_relax,relax,GGA+U,True,True,True,converged,-47.78181291,0.048952727860661654,-1.0,,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/OUTCAR,50e87ab7ff654f96a411dd9c13a9ac3acc6ff42d6e72598f7a49ef47cc6e3373,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/01_tight_relax/vasprun.xml,stage-specific original output
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,new,tight_state_afm_02_static,static,GGA+U,True,True,True,not_applicable_static,-47.77904233,0.049823436152076066,-1.0,,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/OUTCAR,2c4ec3bce4c78f836f866f8a98a6c8e08c621d57b0e01b1f2660b77e2d670e5c,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_afm/02_static/vasprun.xml,stage-specific original output
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,new,tight_state_fm_01_tight_relax,relax,GGA+U,True,True,True,converged,-47.85292525,0.03975567565769698,7.0,,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/OUTCAR,e232001a028504cdbd85ddf5c8c82dca641246a76646ee58a1f6ba7efb4c8181,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/01_tight_relax/vasprun.xml,stage-specific original output
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1,new,tight_state_fm_02_static,static,GGA+U,True,True,True,not_applicable_static,-47.85069284,0.0437004140369402,7.0,,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/OUTCAR,09a9ee01b8f06c648e385c231d959f0833df2e983e63198583e58bd78b633c93,new12_dft_final/candidate_outputs/candidate_006_Mn_job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_1/tight_magnetic_states/state_fm/02_static/vasprun.xml,stage-specific original output
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,new,01_pbe_relax,relax,PBE,True,True,True,converged,-54.55188178,0.05746633213456379,5.0,,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/OUTCAR,cfd529d7ecaee02838901bf6fb76f0ebe6db283f0dc525b9c071294e526f6849,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/01_pbe_relax/vasprun.xml,stage-specific original output
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,new,02_pbe_static,static,PBE,True,True,True,not_applicable_static,-54.54742827,0.06195445561862359,5.0,,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/OUTCAR,2cb3b6c2519304e9f9ee60e61ccba68cbab24109f314fe27c9b699d3a0fec0f3,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/02_pbe_static/vasprun.xml,stage-specific original output
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,new,03_gga_u_relax,relax,GGA+U,True,True,True,converged,-49.24034421,0.03183015483782634,5.0,,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/OUTCAR,016dc656cab7dc21773f8e353b2def2a852b9a21c47111296aeb957979b0b32b,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/03_gga_u_relax/vasprun.xml,stage-specific original output
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,new,04_gga_u_static,static,GGA+U,True,True,True,not_applicable_static,-49.24208766,0.033201772512924665,4.9997,,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/OUTCAR,ea8ad4db7ec45e9a9db6438757ee2ffe4e462c53827315f173b237da0e6a8005,new12_dft_final/candidate_outputs/candidate_005_Cr_job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1/stages/04_gga_u_static/vasprun.xml,stage-specific original output
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,new,01_pbe_relax,relax,PBE,True,True,True,converged,-52.34254572,0.06039237880726342,0.861,,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/OUTCAR,0b082d8fa334d0311e1d105a90351673bc108951f7b604b95e62b86ceefdddd3,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/stages/01_pbe_relax/vasprun.xml,stage-specific original output
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,new,02_pbe_static,static,PBE,True,True,True,not_applicable_static,-52.30492819,0.6718430763697725,4.9996,,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/stages/02_pbe_static/OUTCAR,06dc502b659dcdd4313438ab6172d20255c79c13bfd72fc600b575f8accd143e,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/stages/02_pbe_static/vasprun.xml,stage-specific original output
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,new,03_gga_u_relax,relax,GGA+U,True,True,True,converged,-47.65104927,0.06896175792422929,7.0,,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/stages/03_gga_u_relax/OUTCAR,e22c86f597b6ec4cb5d86826574822f9aefbd9ccfd54530377406d4d6d55f72f,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/stages/03_gga_u_relax/vasprun.xml,stage-specific original output
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,new,04_gga_u_static,static,GGA+U,True,True,True,not_applicable_static,-47.66109971,0.05945132631825803,7.0001,,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/stages/04_gga_u_static/OUTCAR,c33986492f7bb121840120b432000f52f669abe8a5ba492f9fb5ea07c50de8dc,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/stages/04_gga_u_static/vasprun.xml,stage-specific original output
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,new,tight_state_afm_01_tight_relax,relax,GGA+U,True,True,True,converged,-47.64770763,0.03606334438179576,-1.0,,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_afm/01_tight_relax/OUTCAR,11dca20c67dec60f6a4f2cddd8fc084757da16060c51bd79e82b1abf90080f02,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_afm/01_tight_relax/vasprun.xml,stage-specific original output
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,new,tight_state_afm_02_static,static,GGA+U,True,True,True,not_applicable_static,-47.64877877,0.03721805161477425,-1.0,,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_afm/02_static/OUTCAR,9477545e5740e7ddc23ee6823330fa04c6c2941c3ce9b4123f2c6b839fff9ffd,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_afm/02_static/vasprun.xml,stage-specific original output
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,new,tight_state_fm_01_tight_relax,relax,GGA+U,True,True,True,converged,-47.67072252,0.04803831307404539,7.0,,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_fm/01_tight_relax/OUTCAR,ebd0cefb04a8b40be0df2a41ffb724fee015ec1eda0b309e618a1c0fc76389f2,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_fm/01_tight_relax/vasprun.xml,stage-specific original output
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,new,tight_state_fm_02_static,static,GGA+U,True,True,True,not_applicable_static,-47.6690802,0.04712470806275621,7.0001,,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_fm/02_static/OUTCAR,8a5f448a3a47e6edf5d5a41f4d17a9ad43eaff370593791f30dd4abdd2e51952,new12_dft_final/candidate_outputs/candidate_009_Mn_job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2/tight_magnetic_states/state_fm/02_static/vasprun.xml,stage-specific original output
