model_name,n,positives,loo_roc_auc,loo_balanced_accuracy,loo_brier_score,loo_log_loss
shallow_gradient_boosting,20,10,0.8200000000000001,0.7,0.1831575839870609,0.5447735724787457
shallow_random_forest,20,10,0.66,0.75,0.23416340044090916,0.6644145786878476
regularized_logistic,20,10,0.54,0.6,0.25780509005447355,0.7127017943473153
laplace_bayesian_logistic,20,10,0.45999999999999996,0.6,0.2821784847433197,0.7663875223012349
