stage_threshold,config_id_threshold,seed,M0_threshold,G0_threshold,alpha_threshold,beta_threshold,gamma_threshold,mc_passes_threshold,AUTC_threshold,AUTC_160_threshold,recovery_at_80_threshold,recovery_at_160_threshold,recovery_at_240_threshold,recovery_at_320_threshold,correction_rounds_threshold,effective_replacements_threshold,sequence_sha256_threshold,runtime_seconds_threshold,run_config_sha256_threshold,run_metrics_sha256_threshold,summary_sha256_threshold,run_path_threshold,stage_weight,config_id_weight,M0_weight,G0_weight,alpha_weight,beta_weight,gamma_weight,mc_passes_weight,AUTC_weight,AUTC_160_weight,recovery_at_80_weight,recovery_at_160_weight,recovery_at_240_weight,recovery_at_320_weight,correction_rounds_weight,effective_replacements_weight,sequence_sha256_weight,runtime_seconds_weight,run_config_sha256_weight,run_metrics_sha256_weight,summary_sha256_weight,run_path_weight,same_AUTC_160,same_AUTC_640,same_sequence
threshold,m0_1p00_g0_0p50,0,1.0,0.5,0.1,0.2,0.1,30,0.8035256410256411,0.3217948717948718,30,52,73,78,36,243,e32134bf8931a495d6a64aeb10acf2f234f3a18b461c080bf97dbb90ca8692fe,3863.2477881908417,fe4be5bd7476546f8be9fdbece57cdb9dd2391dde87f663d8a67a6168243d536,01657a41cf8d5c4aec05be59f904caf777edb0ee61442f4268ce78bde0aa7b0a,6ac892020a9b4f8e8e99564c249417aa0f1444d364b8e77d91e9213a435193bd,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_1p00_g0_0p50\seed_0\attempt_1,weight,baseline,1.0,0.5,0.1,0.2,0.1,30,0.8035256410256411,0.3217948717948718,30,52,73,78,36,243,e32134bf8931a495d6a64aeb10acf2f234f3a18b461c080bf97dbb90ca8692fe,8861.797944545746,4750e7f916638df1cafc836bef4a32153d2108a7a72814b6964c8380ef3ea6d4,a64f0b789a0d972e3b318ec05af651ace7e8d1558f5b749a459b3757802a2f8b,40425df6a87a8443ef98c753a265f6666db4e8a7c8588bf03c966e3306ee9350,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_0\attempt_1,True,True,True
threshold,m0_1p00_g0_0p50,1,1.0,0.5,0.1,0.2,0.1,30,0.7801282051282051,0.3051282051282051,27,49,66,78,36,234,29125b2007dfd6fe3240f24a965eb750fd19b23596ad40f09de5d11dc1d9e6ef,5887.908306121826,7e1bad85e583d6c0763efd426e5891d7e030d3e94aa1dd5298a5eaff0565d699,d38d04bdaf74e041c4dae00bb0ce80b98f2da51af5789e25499b8c774168e3c8,5c84c29e0fca35d92f42ad95cb5e6d638707f90cb9ba10b1e3b6ed8c89afd80a,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_1p00_g0_0p50\seed_1\attempt_1,weight,baseline,1.0,0.5,0.1,0.2,0.1,30,0.7801282051282051,0.3051282051282051,27,49,66,78,36,234,29125b2007dfd6fe3240f24a965eb750fd19b23596ad40f09de5d11dc1d9e6ef,8925.769817590714,a74e3962b43cf1bcb3e9a555d06b514270a6b1a17f1d96a60d42b772b0728351,70e944328e9840ad64f111e5ea924a2c770686b2b13d97e1a97fb1279a461fcf,e641b12e105d2945e4f7da3977a76bd7f60d9963fa8aa06ff9d2f20514c9cee5,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_1\attempt_1,True,True,True
threshold,m0_1p00_g0_0p50,2,1.0,0.5,0.1,0.2,0.1,30,0.7849358974358974,0.3038461538461538,28,49,69,77,34,224,751853eb5b626555dc154b87719f814eb3b7170c7ce1f39a766555d9ef7e8bf7,5967.370673656464,38adea62e23279eb193907e921ee5b7c0b9f5239ca0fd1f043edfe71c4495f7c,00db81a797399ebce7bc5a30905153f8cd419136b25ca1f60ff7aed36f62680f,a884421a19beab699d88fed83876b2bf44ae6cf418f27ca18585eb9d9aa5e27f,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_1p00_g0_0p50\seed_2\attempt_1,weight,baseline,1.0,0.5,0.1,0.2,0.1,30,0.7849358974358974,0.3038461538461538,28,49,69,77,34,224,751853eb5b626555dc154b87719f814eb3b7170c7ce1f39a766555d9ef7e8bf7,8803.694916009903,9d4d4046503b55ebfd428b11c89ca0be6ba75cc9630e169c1a3c652e81d4aa3b,aa064dc0c1b98de7c07baf28710342cd09a6c3009beab1d87d3c1335c4ec2c50,fa07f49696e6486b99cb90a64b4658637b8ad5790f43a6e2b96b151eefebba87,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_2\attempt_1,True,True,True
threshold,m0_1p00_g0_0p50,3,1.0,0.5,0.1,0.2,0.1,30,0.7948717948717948,0.3051282051282051,24,55,70,78,34,224,a33a636de0fd96a975a388ef712e4324322920a0ac0b5221f9df98c3ba7afa7c,5990.11451458931,1bd5e6607f199704d8fd0a25679dad6eaa0a27a2ba7c32f166f5565260ba79d2,da8eab26525d609529e5e861d2aea0171485a287c3062137d1bedb93410fb524,049afad261cf2647f2276d2c27f8607e39fe28d949f59866cdaff5a64760657f,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_1p00_g0_0p50\seed_3\attempt_1,weight,baseline,1.0,0.5,0.1,0.2,0.1,30,0.7948717948717948,0.3051282051282051,24,55,70,78,34,224,a33a636de0fd96a975a388ef712e4324322920a0ac0b5221f9df98c3ba7afa7c,8842.197672605515,acd0daf71561dc4feb316a3ef67b635faffff7641b7a2ef1aa5271dadb3497bf,d81fb750c081b7b63367347755ffb8d89ff2f7bb22309e4a1b200bbf2f2d29c7,ddfd3ed12c9c3b9a2f08904c27d439ec5ba4d5e6c8d4da00ac494f8207a7b21c,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_3\attempt_1,True,True,True
threshold,m0_1p00_g0_0p50,4,1.0,0.5,0.1,0.2,0.1,30,0.7932692307692307,0.308974358974359,26,51,70,78,34,229,00335e4f8324c3c420305da3c7a249a798514694d17c996ff75f835fef12462e,5901.109361886978,bc590014f5008cc91235b78cf26469f1159d4db560943179256a093b72d236ca,3f86ebf105bb5111de1ef120600ef4d1f15d9360d259df0824c660729d8fd534,6c18b2157fecacf409bdfae2f708d5db4340855ef69850db2ac70948b401257d,SourceData\GPUParameterSensitivityRaw\results\threshold\m0_1p00_g0_0p50\seed_4\attempt_1,weight,baseline,1.0,0.5,0.1,0.2,0.1,30,0.7932692307692307,0.308974358974359,26,51,70,78,34,229,00335e4f8324c3c420305da3c7a249a798514694d17c996ff75f835fef12462e,8818.197082996368,e6a2d04149092e323970bcda7f1e06383ddf5cef2039549fe272bfcf4eee9407,36db1fd670ba8b5543777eb163cc39f91a7b1090da9ef3160ce57da5f9be6f4b,7337f999478a1dd1f371efdb389ed045fa0ea93404e03f9840338ec5c5f53aa3,SourceData\GPUParameterSensitivityRaw\results\weight\baseline\seed_4\attempt_1,True,True,True
