task,method,seed,autc_delta,cumulative_correction_target_gain,recovery_at_80_delta,recovery_rate_at_80_delta,queries_per_target_at_80_delta,target_cluster_at_80_delta,hidden_expected_evaluable_at_80_delta,recovery_at_160_delta,recovery_rate_at_160_delta,queries_per_target_at_160_delta,target_cluster_at_160_delta,hidden_expected_evaluable_at_160_delta,recovery_at_240_delta,recovery_rate_at_240_delta,queries_per_target_at_240_delta,target_cluster_at_240_delta,hidden_expected_evaluable_at_240_delta,recovery_at_320_delta,recovery_rate_at_320_delta,queries_per_target_at_320_delta,target_cluster_at_320_delta,hidden_expected_evaluable_at_320_delta
mg,structural_group_gate,115,0.0005395683453237599,-8.0,-2.0,-0.014388489208633115,0.03174603174603163,0.0,-2.4224305020048433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mg,structural_group_gate_q95,111,0.005755395683453179,0.0,0.0,0.0,0.0,0.0,0.19451393450111,3.0,0.021582733812949617,-0.040040040040040026,2.0,1.0966473372677115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mg,structural_group_gate_q95,112,-0.0005395683453236488,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mg,structural_group_gate_q95,113,0.006384892086330973,3.0,0.0,0.0,0.0,0.0,0.1281376227932185,0.0,0.0,0.0,0.0,1.4210854715202004e-14,3.0,0.021582733812949617,-0.0398053958425475,0.0,2.180852846310742,0.0,0.0,0.0,0.0,0.0
mg,structural_group_gate_q95,114,-0.008183453237410099,-4.0,-3.0,-0.021582733812949617,0.04444444444444451,1.0,-2.126677659326077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mg,structural_group_gate_q95,115,-0.0006294964028776828,-3.0,-2.0,-0.014388489208633115,0.03174603174603163,0.0,-2.4224305020048433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mg,gradient_norm_hybrid,111,0.07203237410071939,-4.0,-4.0,-0.02877697841726623,0.06177606177606165,3.0,-4.993027827092618,29.0,0.20863309352517978,-0.3135982698026494,6.0,19.85065462383409,25.0,0.17985611510791366,-0.39103232533889454,3.0,18.549118492076673,0.0,0.0,0.0,0.0,0.0
mg,gradient_norm_hybrid,112,0.05035971223021585,4.0,-1.0,-0.0071942446043165575,0.017559262510974394,0.0,-0.45656341852544813,3.0,0.021582733812949617,-0.037267080745341685,1.0,2.3732422207689723,27.0,0.19424460431654678,-0.41623843782117165,5.0,19.026732524231676,0.0,0.0,0.0,0.0,0.0
mg,gradient_norm_hybrid,113,0.0461330935251798,-6.0,-2.0,-0.014388489208633115,0.034609560891196045,2.0,-1.2037711123994939,24.0,0.17266187050359716,-0.24408848207475198,3.0,17.44094347985586,6.0,0.043165467625899234,-0.07789257315951748,2.0,3.4832905650640527,0.0,0.0,0.0,0.0,0.0
mg,gradient_norm_hybrid,114,0.0642086330935252,-15.0,-6.0,-0.043165467625899234,0.09275362318840585,0.0,-3.4892827543039147,22.0,0.15827338129496404,-0.23454157782516005,1.0,17.28655552617255,26.0,0.18705035971223027,-0.40372670807453415,4.0,18.771497559310035,0.0,0.0,0.0,0.0,0.0
mg,gradient_norm_hybrid,115,0.003327338129496371,2.0,-4.0,-0.028776978417266175,0.065359477124183,0.0,-2.753486975769178,0.0,0.0,0.0,0.0,0.0,4.0,0.02877697841726623,-0.07389162561576335,2.0,2.411966084113942,0.0,0.0,0.0,0.0,1.4210854715202004e-14
