method,seed,checkpoint,query_prefix_sha256,target_set_sha256,target_hits
Energy-Gated DA-TPP,12,160,cbaa3e2a4d4e142f9c5147277ebb8d9f29d0a2f5c64263a5dabb3b5f8a2fc4e6,f63a9318031bf7213fca0e95ea920a7699274f95b5a93973e8b7f11ff315d1c4,54
Energy-Gated DA-TPP,12,240,83df1cab3e5dd5e6c94962f640e25319525ee79b9938921afb32f92236cfa1ef,05b86967dbcdc31c78ba1c1487179d3b80a9c683b99d291b176e3154c203e003,67
Energy-Gated DA-TPP,12,320,49699c8ac439f539df5cc634697be988225865f5459294c417aa6d224ed0a288,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Energy-Gated DA-TPP,13,80,e41aea7c239d5b0d90c39b6ab744ddcedc5474cdb925b1ab9603d97c43003cc9,4b15958c76961c9626e03a543398aa2146423b44069365ce3a109795888df117,26
Energy-Gated DA-TPP,13,160,cbaa3e2a4d4e142f9c5147277ebb8d9f29d0a2f5c64263a5dabb3b5f8a2fc4e6,f63a9318031bf7213fca0e95ea920a7699274f95b5a93973e8b7f11ff315d1c4,54
Energy-Gated DA-TPP,13,240,83df1cab3e5dd5e6c94962f640e25319525ee79b9938921afb32f92236cfa1ef,05b86967dbcdc31c78ba1c1487179d3b80a9c683b99d291b176e3154c203e003,67
Energy-Gated DA-TPP,13,320,a590d42cf36a910dfaef2b0bb82fdbee8ac53c6a5f18e283a143abb9283798e1,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Energy-Gated DA-TPP,14,80,e41aea7c239d5b0d90c39b6ab744ddcedc5474cdb925b1ab9603d97c43003cc9,4b15958c76961c9626e03a543398aa2146423b44069365ce3a109795888df117,26
Energy-Gated DA-TPP,14,160,cbaa3e2a4d4e142f9c5147277ebb8d9f29d0a2f5c64263a5dabb3b5f8a2fc4e6,f63a9318031bf7213fca0e95ea920a7699274f95b5a93973e8b7f11ff315d1c4,54
Energy-Gated DA-TPP,14,240,83df1cab3e5dd5e6c94962f640e25319525ee79b9938921afb32f92236cfa1ef,05b86967dbcdc31c78ba1c1487179d3b80a9c683b99d291b176e3154c203e003,67
Energy-Gated DA-TPP,14,320,dbb1bfb90193b447e9ac21744400418ea4bab87444a4409348bc54499308373e,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,5,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,5,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,5,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,5,320,179408c80f7fa40e88b239b3dbdc3d318d61e96ae2ad6680dd645b71982c842d,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,6,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,6,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,6,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,6,320,2f283e5fe52bf576e4351f6389ab127eec32bf5fcc74bece77a523897acb41ba,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,7,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,7,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,7,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,7,320,77002f6562a38dd9ba99c919e8d29dc29ef545e23f3b71bb23f912a0b8c6c3b8,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,8,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,8,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,8,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,8,320,88f14688e906382ca43002e561ed43b7f24817275497ddcb7bc233a443de61df,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,9,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,9,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,9,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,9,320,24f3f8b168ee69655624688bc254063933037c1f7b4db4a086b38255ff10a4d6,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,10,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,10,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,10,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,10,320,18ada453ef01f5ab3f250f47aad60055381a80f50a20a5c0e2e3f13e192f8b8c,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,11,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,11,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,11,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,11,320,03f486b26398854891c71491274705deee3416e615f56fa4a45383bdd04ecb59,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,12,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,12,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,12,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,12,320,a41995cda079907ee7bfff45a103816809e0485459ec2b597cdcf0fd7562a137,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,13,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,13,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,13,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,13,320,36e2e64af2535420e68d12669a0dfb7dcb9da8699fdc4feda2a82586b666207d,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
Predicted-Target Greedy,14,80,951f5a5405c55e17a5116e85a1b1e3e5aac43f8b71e5042517c65daaa2b38621,5fa33798e1aea4dece636c749314369213f6189f72cdf0863810e6504d0d636c,19
Predicted-Target Greedy,14,160,1cab90ef0f40b4341749eab50a3c5e251ae41417e4b20e90eb60eafab3d018a4,e22280790a21a3d641ef43f8d215b070c12c48e8ea498103a034725bcfe20260,54
Predicted-Target Greedy,14,240,91cd9b9da6f8d83af87c2aa4886be58da46dbdb44a2a0731297aacc5c862b8bc,9f202a341c70eb0f2ba54afd21f2c64d0c70c94badb646d40918415551167176,69
Predicted-Target Greedy,14,320,79d4bc32a475b42b122986637cdeb6923729e9f137ea79cc392e6d490d1458be,090d3daad4eada60f509f259976b79adf442c6a733c9a6bbf3c41997b1390b4a,78
