seed,AUTC_160_gate,AUTC_160_greedy,delta_AUTC_160_gate_minus_greedy,AUTC_160_leader,AUTC_640_gate,AUTC_640_greedy,delta_AUTC_640_gate_minus_greedy,recovery_at_80_gate,recovery_at_80_greedy,delta_recovery_at_80_gate_minus_greedy,recovery_at_160_gate,recovery_at_160_greedy,delta_recovery_at_160_gate_minus_greedy
0,0.3217948717948718,0.35,-0.02820512820512816,Greedy,0.8035256410256411,0.8028846153846154,0.0006410256410256387,30,34,-4,52,53,-1
1,0.3051282051282051,0.2705128205128205,0.0346153846153846,Gate,0.7801282051282051,0.7708333333333334,0.009294871794871762,27,24,3,49,42,7
2,0.3038461538461538,0.2858974358974359,0.01794871794871794,Gate,0.7849358974358974,0.7814102564102564,0.003525641025641013,28,25,3,49,50,-1
3,0.3051282051282051,0.3307692307692307,-0.025641025641025605,Greedy,0.7948717948717948,0.7993589743589744,-0.004487179487179582,24,29,-5,55,54,1
4,0.308974358974359,0.3423076923076923,-0.033333333333333326,Greedy,0.7932692307692307,0.8032051282051282,-0.009935897435897512,26,31,-5,51,54,-3
