method,checkpoint,target_hits_mean,target_hits_std,target_hits_min,target_hits_max,expected_DFT_evaluable_target_hits_mean,expected_DFT_evaluable_target_hits_std,expected_DFT_evaluable_target_hits_min,expected_DFT_evaluable_target_hits_max,ML_labeled_DFT_evaluable_target_hits_mean,ML_labeled_DFT_evaluable_target_hits_std,ML_labeled_DFT_evaluable_target_hits_min,ML_labeled_DFT_evaluable_target_hits_max,mean_DFT_evaluable_probability_among_targets_mean,mean_DFT_evaluable_probability_among_targets_std,mean_DFT_evaluable_probability_among_targets_min,mean_DFT_evaluable_probability_among_targets_max,ML_labeled_DFT_evaluable_rate_among_targets_mean,ML_labeled_DFT_evaluable_rate_among_targets_std,ML_labeled_DFT_evaluable_rate_among_targets_min,ML_labeled_DFT_evaluable_rate_among_targets_max,n_runs
Energy-Gated DA-TPP,80,26.0,0.0,26,26,16.62618478811109,0.0,16.62618478811109,16.62618478811109,20.0,0.0,20,20,0.6394686456965804,0.0,0.6394686456965804,0.6394686456965804,0.7692307692307693,0.0,0.7692307692307693,0.7692307692307693,10
Energy-Gated DA-TPP,160,54.0,0.0,54,54,33.873114252711886,0.0,33.873114252711886,33.873114252711886,41.0,0.0,41,41,0.6272798935687386,0.0,0.6272798935687386,0.6272798935687386,0.7592592592592593,0.0,0.7592592592592593,0.7592592592592593,10
Energy-Gated DA-TPP,240,67.0,0.0,67,67,39.93077746944749,0.0,39.93077746944749,39.93077746944749,46.0,0.0,46,46,0.5959817532753356,0.0,0.5959817532753356,0.5959817532753356,0.6865671641791045,0.0,0.6865671641791045,0.6865671641791045,10
Energy-Gated DA-TPP,320,78.0,0.0,78,78,46.51228001243057,0.0,46.51228001243057,46.51228001243057,53.0,0.0,53,53,0.5963112822106483,0.0,0.5963112822106483,0.5963112822106483,0.6794871794871795,0.0,0.6794871794871795,0.6794871794871795,10
Predicted-Target Greedy,80,19.0,0.0,19,19,10.986677097371278,0.0,10.986677097371278,10.986677097371278,12.0,0.0,12,12,0.5782461630195409,0.0,0.5782461630195409,0.5782461630195409,0.631578947368421,0.0,0.631578947368421,0.631578947368421,10
Predicted-Target Greedy,160,54.0,0.0,54,54,31.59800015026218,0.0,31.59800015026218,31.59800015026218,35.0,0.0,35,35,0.5851481509307811,0.0,0.5851481509307811,0.5851481509307811,0.6481481481481481,0.0,0.6481481481481481,0.6481481481481481,10
Predicted-Target Greedy,240,69.0,0.0,69,69,40.95838151715029,0.0,40.95838151715029,40.95838151715029,47.0,0.0,47,47,0.593599732132613,0.0,0.593599732132613,0.593599732132613,0.6811594202898551,0.0,0.6811594202898551,0.6811594202898551,10
Predicted-Target Greedy,320,78.0,0.0,78,78,46.51228001243057,0.0,46.51228001243057,46.51228001243057,53.0,0.0,53,53,0.5963112822106483,0.0,0.5963112822106483,0.5963112822106483,0.6794871794871795,0.0,0.6794871794871795,0.6794871794871795,10
