method,display_name,seed,AUTC_160,AUTC_640,recovery_at_80,recovery_at_160,recovery_at_320,final_recovery,sequence_sha256,run_config_sha256,run_metrics_sha256,summary_sha256,run_path
mc_dropout,MC Dropout,0,0.0076923076923076,0.2368589743589743,1,2,10,78,eb3afeebd0a63d33354aa48661e9f33ebb001494f25e44e8b844e217d9bf5a88,3fb5daaea342a6955b345f259984d9b932717c44bfec842b4722a9f4f4a538b3,d289ef3537cd5bd359f037e8f06bfe0304d9f3e3a218c94162c1c1cf539f6955,eefce89b4ec7c3b5d197498cd10790a51093e75e860a31badd345deaaf1db2ea,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\mc_dropout\seed_0\attempt_1
mc_dropout,MC Dropout,1,0.0038461538461538,0.2352564102564102,0,1,7,78,3354bc8575ee1794a8b3071b17f109020490e94fe13f7d315684b27669ac23bc,4d300fbbbfae284cf30f6b66483be574c79245e1c2dd153fc43bbff596ad55f0,6028327362daf96d04ea17c89b49413795d32c33f44f03ea6e104463718b6a9c,dd5dc91a4c7fff6c6633fb6b1614e36203471c49dbd10d069e66c7daf1f81e71,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\mc_dropout\seed_1\attempt_1
mc_dropout,MC Dropout,2,0.0102564102564102,0.2419871794871795,1,3,9,78,492eaadace58c40fff9021bceaee93b9367a73e13cf5ba03e543c3524ff6b5ed,31fff1b9298d7a2bf0ee4d72398ca6c5a466de7edb2d364c4db650fd9d06602f,6a8aecd03cb594e037d8856f6b460cbc12a1c2bde4aac3a205545d7e99d38196,e3b381855245356a0bc491392103a3f404e0245049ae5d3448b72c4aa5690f60,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\mc_dropout\seed_2\attempt_1
mc_dropout,MC Dropout,3,0.0128205128205128,0.2685897435897436,1,2,15,78,9b4d78c0b4d08b2830bdb64e8c84f453da0573f25b94537dd44be132259a8f4e,f4d24d0d7fda8f18b060cec0320309152446073d150796c1f2cbb7bd3c334b8f,8a287efa8b9f91130c5da1ef07bb1f6b2edfbed90fb93a4ef20f4501ec4cd7bc,177f7298c1b2f94706a4434f1a345c295a0b17ae28c3094db978fb080222bbcd,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\mc_dropout\seed_3\attempt_1
mc_dropout,MC Dropout,4,0.0269230769230769,0.2708333333333333,3,4,17,78,a8b7df4a9026c75fda5f000dea22a153111da66b363326e5e6e1d3d964103ec6,97ab29f3aba45b9cc0c66e15799b1635b9a64d08ea61e03195dcadd1555bad49,8dd97e5dec151d5a2d56f5ff26c852483ea9ceb274fe8d8e4f4edd272df99cbd,7f30d71583f510c0a971be3f3c6dcbb456bef2fd92f53c1033e2ebc84ee83f23,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\mc_dropout\seed_4\attempt_1
random_sampling,Random Sampling,0,0.1115384615384615,0.514102564102564,10,21,43,78,5db61abefcf670fb0c98d5808778b43d9102bb2a263a61e0a56edd2a3f3e4386,78c4211312bfc88cea8bad54fc385160796137161bc864ab0bd29f3c93324b02,7cf54910566b8af01d4335e51c62f5138a358c58bd428174d86c3b956dcd5644,a0a0d6e4401e9643c529fa5b14aaa4a430a69685c2e74b732f80d15a6b6dbfaa,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\random_sampling\seed_0\attempt_1
random_sampling,Random Sampling,1,0.091025641025641,0.4721153846153846,8,15,36,78,82170c66341576872a572adfa5fcccfddb1c47e1a9888807c09609f3cb34857e,8c66640db73a9e130459a8cad55c98161e9c554d5935a5ff60ae043339329b32,297bcabb8994f6391187c5ac443b651725544a514e55e70ac76102718005b95a,b8be0c20d27ff38f773d376ec748c55c2b8f5fe276e7d6583d8a1f5fa5e7c305,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\random_sampling\seed_1\attempt_1
random_sampling,Random Sampling,2,0.1256410256410256,0.4823717948717949,12,20,37,78,deb5d6375cece5e65544c1df706ba420f5329f012b070d8158d6201cee73bb1f,ac50d4a2d3b417b6117889686b5205d774d26d9c373c29fbad1e60cd0862445a,665d25afd1dea0c429cb244a15a947fc90e3ac731340d321711cefab05b9cf63,c26d110d483b851e7625ab87903e7bdcec8821184abc0081b649752c17b7d16b,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\random_sampling\seed_2\attempt_1
random_sampling,Random Sampling,3,0.0935897435897435,0.482051282051282,7,20,39,78,b4c3a223d61e41b495250e69b4ac41c5c4767d4cf425b627aa19d0ae9239bb27,6d4de3481666c7b27285dccf91f2a6b5eede35ac0e549b58eb81f1f830ff98b5,546bf36c0e70a4f3025382d3d7430ae1a7b026eb0062b16b38c22478634006bb,2b76b41ac2aea1f61479819d1f9f1c3f7008de0d59c49383d86096a5f03c3116,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\random_sampling\seed_3\attempt_1
random_sampling,Random Sampling,4,0.1435897435897435,0.5269230769230769,12,25,42,78,3a3e796f6bc61aca197984506c19e4fbd3cd219f056de65a007d148f2af33219,3bc9e77877889d5af3d21569504f4ee8e28c88bff4b2c7cfb0e6822d326a7e88,5ccc0ad9cf871235c52bde9e89368f064741b855b8dda2af960d4755b6c38367,d1eb0fec117cdffe776dccc268b38c64465978cdeb96a846afd5ae76373a7488,SourceData\GPUParameterSensitivityRaw\results\same_protocol_baselines_v3\random_sampling\seed_4\attempt_1
