method,display_name,seed_count,unique_sequences,mean_AUTC_160,sd_AUTC_160,mean_AUTC_640,sd_AUTC_640,mean_recovery_at_80,sd_recovery_at_80,mean_recovery_at_160,sd_recovery_at_160,mean_recovery_at_320,sd_recovery_at_320,mean_final_recovery,sd_final_recovery
energy_gated_da_tpp,Energy-Gated DA-TPP,5,5,0.308974358974359,0.007420408271019397,0.7913461538461538,0.009102225526386497,27.0,2.23606797749979,51.2,2.4899799195977463,77.8,0.4472135954999579,78.0,0.0
predicted_target_greedy,Predicted-Target Greedy,5,5,0.3158974358974359,0.035501479259121005,0.7915384615384615,0.014639754199587037,28.6,4.159326868617084,50.6,5.079370039680118,78.0,0.0,78.0,0.0
mc_dropout,MC Dropout,5,5,0.012307692307692259,0.00881730710976894,0.25070512820512814,0.017545552154163684,1.2,1.0954451150103324,2.4,1.140175425099138,11.6,4.219004621945797,78.0,0.0
random_sampling,Random Sampling,5,5,0.11307692307692303,0.02212049364992199,0.4955128205128204,0.023630078045335897,9.8,2.280350850198276,20.2,3.5637059362410923,39.4,3.0495901363953815,78.0,0.0
