candidate_id,formula,cohort,configuration_source,relaxation_calculation_id,static_calculation_id,initial_volume_A3,final_volume_A3,relative_volume_change_percent,minimum_interatomic_distance_A,minimum_M_O_distance_A,Fmax_eV_A,Fmax_source,electronic_converged,ionic_convergence_status,final_total_energy_eV,final_total_magnetic_moment,initial_space_group,final_space_group,initial_structure_path,final_structure_path,final_static_outcar_path,metric_definition
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3,LiCr2O4,new,GGA+U configuration,03_gga_u_relax,04_gga_u_static,68.17597399052865,70.56916048047627,3.510307737268407,1.9799813489364735,1.9799813489364735,0.06664132748527749,final static OUTCAR on relaxed geometry,True,converged,-49.30018218,5.0,I-4m2 (119),I-4m2 (119),new12_dft_final/candidate_outputs/candidate_004_Cr_job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3/stages/03_gga_u_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_004_Cr_job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3/stages/03_gga_u_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_004_Cr_job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3/stages/04_gga_u_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0,LiCr2O4,new,lower-energy configuration among the two tested initializations,tight_state_fm_01_tight_relax,tight_state_fm_02_static,69.34457817114018,69.4570006408493,0.16212149914829893,1.8287463260789154,1.8287463260789154,0.06694417962750757,final static OUTCAR on relaxed geometry,True,converged,-49.05895525,5.0,P1 (1),P1 (1),new12_dft_final/candidate_outputs/candidate_002_Cr_job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0/tight_magnetic_states/state_fm/01_tight_relax/POSCAR,new12_dft_final/candidate_outputs/candidate_002_Cr_job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0/tight_magnetic_states/state_fm/01_tight_relax/CONTCAR,new12_dft_final/candidate_outputs/candidate_002_Cr_job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_0/tight_magnetic_states/state_fm/02_static/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_2,LiCr2O4,pilot,pilot primary PBE configuration,pilot_pbe_relax,pilot_pbe_static,71.30359799242076,72.07308874267564,1.0791752056280073,1.9009876399363872,1.9009876399363872,0.03831669258952291,final static OUTCAR on relaxed geometry,True,unverifiable_original_artifact_missing,-54.54583439,5.0002,P-1 (2),P-1 (2),materials_maintext_candidates/candidate_008/POSCAR,materials_maintext_candidates/candidate_008/CONTCAR,materials_maintext_candidates/candidate_008/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_0,LiCr2O4,pilot,pilot primary PBE configuration,pilot_pbe_relax,pilot_pbe_static,79.25534149309563,77.23317211985741,-2.551461308654352,1.669638633574651,1.669638633574651,0.035994601498002446,final static OUTCAR on relaxed geometry,True,unverifiable_original_artifact_missing,-52.93789361,4.7559,R-3m (166),R-3m (166),materials_maintext_candidates/candidate_002/POSCAR,materials_maintext_candidates/candidate_002/CONTCAR,materials_maintext_candidates/candidate_002/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,LiCr2O4,pilot,pilot primary PBE configuration,pilot_pbe_relax,pilot_pbe_static,76.19196975716395,74.85818378679102,-1.7505597697814081,1.8995412192205874,1.8995412192205874,0.033305703925904345,final static OUTCAR on relaxed geometry,True,unverifiable_original_artifact_missing,-54.38748048,4.9998,P-6m2 (187),P-6m2 (187),materials_maintext_candidates/candidate_005/POSCAR,materials_maintext_candidates/candidate_005/CONTCAR,materials_maintext_candidates/candidate_005/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,LiCr2O4,pilot,pilot primary PBE configuration,pilot_pbe_relax,pilot_pbe_static,64.56278621932087,62.44747018237741,-3.2763704307272263,1.8394987580288353,1.8506967249235493,0.032931598108807296,final static OUTCAR on relaxed geometry,True,unverifiable_original_artifact_missing,-52.97394797,4.5119,I4/mmm (139),I4/mmm (139),materials_maintext_candidates/candidate_004/POSCAR,materials_maintext_candidates/candidate_004/CONTCAR,materials_maintext_candidates/candidate_004/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_1,LiMn2O4,pilot,pilot primary PBE configuration,pilot_pbe_relax,pilot_pbe_static,78.69956803342676,69.26299139926968,-11.990633328697557,1.9206229532383023,1.9206229532383023,0.035394969614339265,final static OUTCAR on relaxed geometry,True,unverifiable_original_artifact_missing,-52.37535043,5.0,Cm (8),C2/m (12),materials_maintext_candidates/candidate_003/POSCAR,materials_maintext_candidates/candidate_003/CONTCAR,materials_maintext_candidates/candidate_003/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,LiCr2O4,pilot,pilot primary PBE configuration,pilot_pbe_relax,pilot_pbe_static,76.51479255070406,74.69095283825288,-2.383643282104661,1.855914521763428,1.9025013383539457,0.33180778549485546,final static OUTCAR on relaxed geometry,False,unverifiable_original_artifact_missing,-52.83596464,-0.5592,P3m1 (156),P3m1 (156),materials_maintext_candidates/candidate_007/POSCAR,materials_maintext_candidates/candidate_007/CONTCAR,materials_maintext_candidates/candidate_007/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_2,LiCr2O4,pilot,pilot primary PBE configuration,pilot_pbe_relax,pilot_pbe_static,75.3082919205847,74.45908613588729,-1.127639152396288,1.9760518227277775,1.9760518227277775,0.023585528211172206,final static OUTCAR on relaxed geometry,True,unverifiable_original_artifact_missing,-53.24876613,4.998,Immm (71),Immm (71),materials_maintext_candidates/candidate_001/POSCAR,materials_maintext_candidates/candidate_001/CONTCAR,materials_maintext_candidates/candidate_001/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
job_249_Cr_fe_-1.500_n4_generated_crystals_cif__gen_1,LiCr2O4,pilot,pilot primary PBE configuration,pilot_pbe_relax,pilot_pbe_static,75.15504237737257,72.7566661060107,-3.191238000131797,1.8986957721018256,1.8986957721018256,0.027929024723394834,final static OUTCAR on relaxed geometry,True,unverifiable_original_artifact_missing,-54.42593193,4.9973,P3m1 (156),P3m1 (156),materials_maintext_candidates/candidate_006/POSCAR,materials_maintext_candidates/candidate_006/CONTCAR,materials_maintext_candidates/candidate_006/OUTCAR,periodic minimum-image distances; Fmax and energy from final static output
