id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,is_valid,target_label,group_key
job_054_Al_fe_-0.872_n4_generated_crystals_cif__gen_2,3,-2.1,-2.0869436264038086,-3.1348016262054443,0.0130563735961914,explore,0,0,LiAl2O4
job_149_Mn_fe_-1.083_n4_generated_crystals_cif__gen_2,3,-2.1,-2.076013803482056,-1.9118714332580569,0.0239861965179439,explore,0,0,LiMn2O4
job_090_Al_fe_-0.837_n4_generated_crystals_cif__gen_2,3,-2.1,-2.034653663635254,-3.1492702960968018,0.0653463363647461,explore,0,0,LiAl2O4
job_216_Cr_fe_-0.890_n4_generated_crystals_cif__gen_2,3,-2.1,-2.17305850982666,-2.163748025894165,0.07305850982666,explore,1,1,LiCr2O4
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_3,3,-2.1,-2.1167702674865723,-1.9995641708374023,0.0167702674865721,explore,0,0,LiMn2O4
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_3,3,-2.1,-2.151163578033448,-2.1069674491882324,0.0511635780334476,explore,1,1,LiCr2O4
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_3,3,-2.1,-2.132378578186035,-1.9228596687316888,0.032378578186035,explore,0,0,LiMn2O4
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_1,3,-2.1,-2.220178842544556,-2.136512517929077,0.120178842544556,explore,1,1,LiCr2O4
job_232_Mn_fe_-1.004_n4_generated_crystals_cif__gen_2,3,-2.1,-2.055405855178833,-1.8914794921875,0.044594144821167,explore,0,0,LiMn2O4
job_061_Mn_fe_-1.231_n4_generated_crystals_cif__gen_2,3,-2.1,-2.064291000366211,-2.0183801651000977,0.0357089996337891,explore,0,0,LiMn2O4
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_1,3,-2.1,-2.1251540184021,-2.0094380378723145,0.0251540184020999,explore,0,0,LiMn2O4
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_1,4,-2.1,-2.005063533782959,-2.21074652671814,0.0949364662170411,explore,0,0,LiCr2O4
job_162_Mn_fe_-1.493_n4_generated_crystals_cif__gen_3,4,-2.1,-1.6645331382751465,-1.8956153392791748,0.4354668617248536,explore,0,0,LiMn2O4
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_0,4,-2.1,-1.683363437652588,-1.9121254682540887,0.4166365623474122,explore,0,0,LiMn2O4
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_1,4,-2.1,-2.135446786880493,-2.1884896755218506,0.035446786880493,explore,0,0,LiCr2O4
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_3,4,-2.1,-1.6482584476470947,-1.951714038848877,0.4517415523529053,explore,0,0,LiMn2O4
job_043_Mn_fe_-1.340_n4_generated_crystals_cif__gen_1,4,-2.1,-1.6433203220367432,-2.03938102722168,0.4566796779632569,explore,1,1,LiMn2O4
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_2,4,-2.1,-2.062317371368408,-2.213667154312134,0.0376826286315918,explore,0,0,LiCr2O4
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_1,4,-2.1,-1.5912117958068848,-2.0493369102478027,0.5087882041931153,explore,1,1,LiMn2O4
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_0,4,-2.1,-2.0026626586914062,-2.190068006515503,0.0973373413085938,explore,0,0,LiCr2O4
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_1,4,-2.1,-1.605176568031311,-1.9251861572265625,0.494823431968689,explore,0,0,LiMn2O4
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_2,4,-2.1,-1.6189675331115725,-2.009329319000244,0.4810324668884276,explore,0,0,LiMn2O4
job_196_Cr_fe_-0.819_n4_generated_crystals_cif__gen_3,4,-2.1,-2.043203830718994,-2.151050090789795,0.0567961692810059,explore,1,1,LiCr2O4
job_120_Cr_fe_-1.424_n4_generated_crystals_cif__gen_1,4,-2.1,-2.1018636226654053,-2.17874813079834,0.0018636226654051,explore,1,1,LiCr2O4
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_0,4,-2.1,-2.07464337348938,-2.20471739768982,0.0253566265106202,explore,0,0,LiCr2O4
job_232_Mn_fe_-1.004_n4_generated_crystals_cif__gen_1,4,-2.1,-1.7115613222122192,-2.0107791423797607,0.3884386777877808,explore,0,0,LiMn2O4
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_0,4,-2.1,-1.7222899198532104,-2.003242492675781,0.3777100801467896,explore,0,0,LiMn2O4
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_1,5,-2.1,-2.277655601501465,-2.156160831451416,0.1776556015014647,explore,1,1,LiCr2O4
job_234_Cr_fe_-1.123_n4_generated_crystals_cif__gen_3,5,-2.1,-2.141112804412842,-2.139469623565674,0.0411128044128417,explore,1,1,LiCr2O4
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_2,5,-2.1,-1.8952901363372805,-2.003902673721313,0.2047098636627196,explore,0,0,LiMn2O4
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_2,5,-2.1,-2.203627586364746,-2.203239917755127,0.103627586364746,explore,0,0,LiCr2O4
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_2,5,-2.1,-1.9397892951965328,-1.9959614276885984,0.1602107048034673,explore,0,0,LiMn2O4
job_003_Mn_fe_-1.026_n4_generated_crystals_cif__gen_0,5,-2.1,-1.7755736112594604,-1.919202446937561,0.3244263887405396,explore,0,0,LiMn2O4
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_1,5,-2.1,-1.840414047241211,-1.9014478921890257,0.2595859527587891,explore,0,0,LiMn2O4
job_195_Mn_fe_-1.284_n4_generated_crystals_cif__gen_1,5,-2.1,-1.8803684711456297,-2.023439645767212,0.2196315288543704,explore,1,1,LiMn2O4
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_0,5,-2.1,-2.153427124023437,-2.138373851776123,0.0534271240234369,explore,1,1,LiCr2O4
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_2,5,-2.1,-2.1815531253814697,-2.208385467529297,0.0815531253814696,explore,0,0,LiCr2O4
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_2,5,-2.1,-2.250645875930786,-2.179424524307251,0.150645875930786,explore,1,1,LiCr2O4
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,5,-2.1,-2.0801000595092773,-2.1052308082580566,0.0198999404907227,explore,1,1,LiCr2O4
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_0,5,-2.1,-1.870537519454956,-1.8770301342010496,0.229462480545044,explore,0,0,LiMn2O4
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_2,5,-2.1,-2.2294697761535645,-2.2411439418792725,0.1294697761535643,explore,0,0,LiCr2O4
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_1,5,-2.1,-2.216823101043701,-2.229992151260376,0.116823101043701,explore,0,0,LiCr2O4
job_129_Mn_fe_-0.852_n4_generated_crystals_cif__gen_3,5,-2.1,-1.8180670738220213,-1.9803466796875,0.2819329261779788,explore,0,0,LiMn2O4
job_233_Mn_fe_-1.136_n4_generated_crystals_cif__gen_0,6,-2.1,-1.913081645965576,-1.902867078781128,0.1869183540344241,explore,0,0,LiMn2O4
job_200_Cr_fe_-1.108_n4_generated_crystals_cif__gen_0,6,-2.1,-2.133991003036499,-2.14246129989624,0.0339910030364989,explore,1,1,LiCr2O4
job_131_Al_fe_-1.160_n4_generated_crystals_cif__gen_2,6,-2.1,-2.800020217895508,-2.906257390975952,0.7000202178955077,explore,0,0,LiAl2O4
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_2,6,-2.1,-2.2107300758361816,-2.2128608226776123,0.1107300758361815,explore,0,0,LiCr2O4
job_245_Al_fe_-1.035_n4_generated_crystals_cif__gen_3,6,-2.1,-2.6929404735565186,-2.941917896270752,0.5929404735565185,explore,0,0,LiAl2O4
job_224_Mn_fe_-1.419_n4_generated_crystals_cif__gen_3,6,-2.1,-1.945164680480957,-2.015972852706909,0.154835319519043,explore,0,0,LiMn2O4
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_2,6,-2.1,-1.9571038484573364,-2.011301040649414,0.1428961515426636,explore,0,0,LiMn2O4
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_1,6,-2.1,-2.1698760986328125,-2.199387788772583,0.0698760986328124,explore,0,0,LiCr2O4
job_149_Mn_fe_-1.083_n4_generated_crystals_cif__gen_3,6,-2.1,-1.9956068992614744,-1.986094355583191,0.1043931007385257,explore,0,0,LiMn2O4
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_2,6,-2.1,-1.624399185180664,-1.8433979749679563,0.475600814819336,explore,0,0,LiMn2O4
job_057_Mn_fe_-0.971_n4_generated_crystals_cif__gen_0,6,-2.1,-1.929654598236084,-1.996131181716919,0.1703454017639161,explore,0,0,LiMn2O4
job_190_Mn_fe_-0.838_n4_generated_crystals_cif__gen_2,6,-2.1,-1.8506224155426023,-1.9161067008972168,0.2493775844573977,explore,0,0,LiMn2O4
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_2,6,-2.1,-1.7433799505233765,-1.9489537477493288,0.3566200494766236,explore,0,0,LiMn2O4
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_3,6,-2.1,-2.110351085662842,-2.1625735759735107,0.0103510856628417,explore,1,1,LiCr2O4
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_1,6,-2.1,-2.195833444595337,-2.1796183586120605,0.0958334445953368,explore,1,1,LiCr2O4
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_3,6,-2.1,-2.246086597442627,-2.187363386154175,0.1460865974426268,explore,0,0,LiCr2O4
job_203_Ni_fe_-0.895_n4_generated_crystals_cif__gen_1,7,-2.1,-1.349015712738037,-0.9687165021896362,0.750984287261963,explore,0,0,Li(NiO2)2
job_220_Cr_fe_-1.305_n4_generated_crystals_cif__gen_0,7,-2.1,-2.1788156032562256,-2.215806245803833,0.0788156032562255,explore,0,0,LiCr2O4
job_195_Mn_fe_-1.284_n4_generated_crystals_cif__gen_0,7,-2.1,-1.802292466163636,-1.953479528427124,0.2977075338363644,explore,0,0,LiMn2O4
job_154_Mn_fe_-1.207_n4_generated_crystals_cif__gen_2,7,-2.1,-1.9554269313812256,-2.0031816959381104,0.1445730686187745,explore,0,0,LiMn2O4
job_049_Al_fe_-1.223_n4_generated_crystals_cif__gen_2,7,-2.1,-2.863446950912476,-2.908756971359253,0.7634469509124759,explore,0,0,LiAl2O4
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_3,7,-2.1,-2.136399745941162,-2.1577799320220947,0.036399745941162,explore,1,1,LiCr2O4
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_1,7,-2.1,-1.9344242811203003,-2.018841505050659,0.1655757188796998,explore,0,0,LiMn2O4
job_012_Cr_fe_-1.495_n4_generated_crystals_cif__gen_0,7,-2.1,-2.19602370262146,-2.18317985534668,0.0960237026214598,explore,0,0,LiCr2O4
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_3,7,-2.1,-2.1720194816589355,-2.182271242141724,0.0720194816589354,explore,0,0,LiCr2O4
job_233_Mn_fe_-1.136_n4_generated_crystals_cif__gen_1,7,-2.1,-1.8901984691619875,-1.907696962356568,0.2098015308380125,explore,0,0,LiMn2O4
job_164_Mn_fe_-1.449_n4_generated_crystals_cif__gen_2,7,-2.1,-1.8305821418762207,-1.9216485023498533,0.2694178581237794,explore,0,0,LiMn2O4
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_1,7,-2.1,-1.991562962532044,-1.9876065254211424,0.1084370374679564,explore,0,0,LiMn2O4
job_099_Ni_fe_-1.343_n4_generated_crystals_cif__gen_3,7,-2.1,-1.3156172037124634,-1.0807764530181885,0.7843827962875367,explore,0,0,Li(NiO2)2
job_061_Mn_fe_-1.231_n4_generated_crystals_cif__gen_3,7,-2.1,-1.915944576263428,-1.899943828582764,0.1840554237365721,explore,0,0,LiMn2O4
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_3,7,-2.1,-1.8543583154678345,-1.9542670249938965,0.2456416845321656,explore,0,0,LiMn2O4
job_102_Ni_fe_-1.495_n4_generated_crystals_cif__gen_0,7,-2.1,-1.4107511043548584,-0.98110032081604,0.6892488956451417,explore,0,0,Li(NiO2)2
job_106_Mn_fe_-1.140_n4_generated_crystals_cif__gen_2,8,-2.1,-2.0986557006835938,-1.980934858322144,0.0013442993164063,explore,0,0,LiMn2O4
job_243_Al_fe_-1.012_n4_generated_crystals_cif__gen_1,8,-2.1,-2.990980386734009,-2.765770673751831,0.8909803867340087,explore,0,0,LiAl2O4
job_114_Al_fe_-1.252_n4_generated_crystals_cif__gen_0,8,-2.1,-3.0287556648254395,-2.883883237838745,0.9287556648254394,explore,0,0,LiAl2O4
job_171_Cr_fe_-1.042_n4_generated_crystals_cif__gen_3,8,-2.1,-2.2418694496154785,-2.135138750076294,0.1418694496154784,explore,1,1,LiCr2O4
job_057_Mn_fe_-0.971_n4_generated_crystals_cif__gen_1,8,-2.1,-2.0201869010925293,-2.0010862350463867,0.0798130989074707,explore,0,0,LiMn2O4
job_171_Cr_fe_-1.042_n4_generated_crystals_cif__gen_0,8,-2.1,-2.3575856685638428,-2.1936843395233154,0.2575856685638427,explore,0,0,LiCr2O4
job_005_Al_fe_-1.478_n4_generated_crystals_cif__gen_0,8,-2.1,-3.1773605346679688,-2.930741548538208,1.0773605346679689,explore,0,0,LiAl2O4
job_113_Mn_fe_-1.432_n4_generated_crystals_cif__gen_0,8,-2.1,-1.959090232849121,-1.925455570220948,0.140909767150879,explore,0,0,LiMn2O4
job_200_Cr_fe_-1.108_n4_generated_crystals_cif__gen_3,8,-2.1,-2.2912676334381104,-2.197359800338745,0.1912676334381102,explore,0,0,LiCr2O4
job_137_Al_fe_-1.012_n4_generated_crystals_cif__gen_3,8,-2.1,-3.103576421737671,-3.076055765151977,1.0035764217376708,explore,0,0,LiAl2O4
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_3,8,-2.1,-2.2530479431152344,-2.177259683609009,0.1530479431152343,explore,1,1,LiCr2O4
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_3,8,-2.1,-2.0586254596710205,-2.035506010055542,0.0413745403289795,explore,1,1,LiMn2O4
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_1,8,-2.1,-2.2828078269958496,-2.209511995315552,0.1828078269958495,explore,0,0,LiCr2O4
job_169_Al_fe_-0.916_n4_generated_crystals_cif__gen_1,8,-2.1,-3.051447868347168,-2.8976054191589355,0.951447868347168,explore,0,0,LiAl2O4
job_044_Mn_fe_-0.936_n4_generated_crystals_cif__gen_3,8,-2.1,-2.0687716007232666,-2.002866506576538,0.0312283992767334,explore,0,0,LiMn2O4
job_019_Mg_fe_-1.315_n4_generated_crystals_cif__gen_0,8,-2.1,-2.927910089492798,-1.7464520931243896,0.8279100894927978,explore,0,0,LiMg2O4
job_212_Cr_fe_-1.473_n4_generated_crystals_cif__gen_2,9,-2.1,-2.2055554389953613,-2.204835891723633,0.1055554389953612,explore,0,0,LiCr2O4
job_043_Mn_fe_-1.340_n4_generated_crystals_cif__gen_3,9,-2.1,-2.0023891925811768,-2.0343403816223145,0.0976108074188233,explore,1,1,LiMn2O4
job_011_Mg_fe_-1.305_n4_generated_crystals_cif__gen_0,9,-2.1,-2.6407244205474854,-2.179306745529175,0.5407244205474853,explore,1,1,LiMg2O4
job_239_Mg_fe_-1.280_n4_generated_crystals_cif__gen_2,9,-2.1,-2.857784032821656,-1.9719445705413816,0.7577840328216556,explore,0,0,LiMg2O4
job_127_Mn_fe_-1.465_n4_generated_crystals_cif__gen_3,9,-2.1,-2.0512032508850098,-1.995632886886597,0.0487967491149903,explore,0,0,LiMn2O4
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_2,9,-2.1,-1.9007017612457275,-2.008680820465088,0.1992982387542725,explore,0,0,LiMn2O4
job_234_Cr_fe_-1.123_n4_generated_crystals_cif__gen_0,9,-2.1,-2.266160249710083,-2.1932477951049805,0.1661602497100829,explore,0,0,LiCr2O4
job_085_Mg_fe_-0.837_n4_generated_crystals_cif__gen_2,9,-2.1,-2.427640199661255,-1.991632938385009,0.3276401996612548,explore,0,0,LiMg2O4
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_3,9,-2.1,-2.243330478668213,-2.2156307697296143,0.1433304786682128,explore,0,0,LiCr2O4
job_004_Mg_fe_-1.439_n4_generated_crystals_cif__gen_1,9,-2.1,-2.550038576126098,-2.100620985031128,0.4500385761260981,explore,1,1,LiMg2O4
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_0,9,-2.1,-1.937838554382324,-1.930472493171692,0.1621614456176761,explore,0,0,LiMn2O4
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_3,9,-2.1,-2.2896032333374023,-2.1943607330322266,0.1896032333374022,explore,0,0,LiCr2O4
job_007_Mg_fe_-1.079_n4_generated_crystals_cif__gen_0,9,-2.1,-2.691852807998657,-2.2938599586486816,0.5918528079986567,explore,0,0,LiMg2O4
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_3,9,-2.1,-1.9632279872894287,-1.919992208480835,0.1367720127105713,explore,0,0,LiMn2O4
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_1,9,-2.1,-2.082536697387696,-1.9718655347824097,0.0174633026123043,explore,0,0,LiMn2O4
