candidate_id,p_dft_evaluable,prediction_role
job_062_Mg_fe_-0.803_n4_generated_crystals_cif__gen_1,0.2223790672333522,prospective_unlabeled
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_0,0.4902747782537565,prospective_unlabeled
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_1,0.4242331937321967,prospective_unlabeled
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_2,0.4330123332045146,prospective_unlabeled
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_0,0.26493734986134,prospective_unlabeled
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_1,0.5340752986356097,prospective_unlabeled
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_2,0.4254112321024085,prospective_unlabeled
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_3,0.460651985143314,prospective_unlabeled
job_067_Mg_fe_-0.974_n4_generated_crystals_cif__gen_1,0.788557810321563,prospective_unlabeled
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_0,0.7192103705280246,prospective_unlabeled
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_1,0.724625494040051,prospective_unlabeled
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_3,0.4810703839314101,prospective_unlabeled
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_0,0.5544953608046534,prospective_unlabeled
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_1,0.3038842320369616,prospective_unlabeled
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_2,0.4899985929887623,prospective_unlabeled
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_3,0.4213863554466019,prospective_unlabeled
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,0.1558326960552503,selected_model_oof
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_1,0.765815746844237,prospective_unlabeled
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_2,0.7217621694162603,prospective_unlabeled
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_3,0.7299144479590304,prospective_unlabeled
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_1,0.4300471570223464,prospective_unlabeled
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_2,0.1914211608305307,prospective_unlabeled
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_3,0.6102633251869604,prospective_unlabeled
job_076_Mg_fe_-1.074_n4_generated_crystals_cif__gen_0,0.592342439564561,prospective_unlabeled
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_0,0.7568457407940025,prospective_unlabeled
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_1,0.4059241653948281,prospective_unlabeled
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_2,0.405982345325422,prospective_unlabeled
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_0,0.4142514306373603,prospective_unlabeled
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_1,0.4588995351870734,prospective_unlabeled
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_2,0.4573810817789134,prospective_unlabeled
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_3,0.2457993203156838,prospective_unlabeled
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,0.1611331325078833,selected_model_oof
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_2,0.739379549973265,prospective_unlabeled
job_085_Mg_fe_-0.837_n4_generated_crystals_cif__gen_2,0.3103046147981195,prospective_unlabeled
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_0,0.5126508023981395,prospective_unlabeled
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_1,0.5518682666052884,prospective_unlabeled
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,0.7698396832756944,selected_model_oof
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_3,0.2322090795625195,prospective_unlabeled
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_0,0.6881375583865521,prospective_unlabeled
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_2,0.5597260729137266,prospective_unlabeled
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_3,0.7479777658431975,prospective_unlabeled
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_0,0.6496636058569562,prospective_unlabeled
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_1,0.7304032498093862,prospective_unlabeled
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_2,0.8819052145002622,prospective_unlabeled
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_3,0.7402244082234678,prospective_unlabeled
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,0.2405524615629073,selected_model_oof
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_2,0.8424984103749494,prospective_unlabeled
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_3,0.2048887944897085,prospective_unlabeled
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_0,0.4193213908800147,prospective_unlabeled
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_1,0.7720116616490583,prospective_unlabeled
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_2,0.8795473095553672,prospective_unlabeled
job_098_Mg_fe_-1.184_n4_generated_crystals_cif__gen_1,0.7943110874633722,prospective_unlabeled
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_1,0.28204825863915,selected_model_oof
job_101_Mg_fe_-1.339_n4_generated_crystals_cif__gen_2,0.2810591896199564,prospective_unlabeled
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_0,0.4310290865718325,prospective_unlabeled
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_1,0.5209371797331577,prospective_unlabeled
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_2,0.719707215783111,prospective_unlabeled
