candidate_id,hidden_p_dft_evaluable,score_source
job_061_Mn_fe_-1.231_n4_generated_crystals_cif__gen_3,0.5009054246783257,full_model_unseen_pool
job_062_Mg_fe_-0.803_n4_generated_crystals_cif__gen_0,0.5913752488951816,full_model_unseen_pool
job_062_Mg_fe_-0.803_n4_generated_crystals_cif__gen_1,0.2223790672333522,full_model_unseen_pool
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_0,0.4902747782537565,full_model_unseen_pool
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_1,0.4242331937321967,full_model_unseen_pool
job_065_Mn_fe_-1.024_n4_generated_crystals_cif__gen_2,0.4330123332045146,full_model_unseen_pool
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_0,0.26493734986134,full_model_unseen_pool
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_1,0.5340752986356097,full_model_unseen_pool
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_2,0.4254112321024085,full_model_unseen_pool
job_066_Mn_fe_-1.023_n4_generated_crystals_cif__gen_3,0.460651985143314,full_model_unseen_pool
job_067_Mg_fe_-0.974_n4_generated_crystals_cif__gen_1,0.788557810321563,full_model_unseen_pool
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_0,0.7192103705280246,full_model_unseen_pool
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_1,0.724625494040051,full_model_unseen_pool
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_3,0.4810703839314101,full_model_unseen_pool
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_0,0.5544953608046534,full_model_unseen_pool
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_1,0.3038842320369616,full_model_unseen_pool
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_2,0.4899985929887623,full_model_unseen_pool
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_3,0.4213863554466019,full_model_unseen_pool
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_0,0.1558326960552503,shallow_gradient_boosting_OOF
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_1,0.765815746844237,full_model_unseen_pool
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_2,0.7217621694162603,full_model_unseen_pool
job_073_Cr_fe_-1.375_n4_generated_crystals_cif__gen_3,0.7299144479590304,full_model_unseen_pool
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_1,0.4300471570223464,full_model_unseen_pool
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_2,0.1914211608305307,full_model_unseen_pool
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_3,0.6102633251869604,full_model_unseen_pool
job_076_Mg_fe_-1.074_n4_generated_crystals_cif__gen_0,0.592342439564561,full_model_unseen_pool
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_0,0.7568457407940025,full_model_unseen_pool
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_1,0.4059241653948281,full_model_unseen_pool
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_2,0.405982345325422,full_model_unseen_pool
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_0,0.4142514306373603,full_model_unseen_pool
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_1,0.4588995351870734,full_model_unseen_pool
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_2,0.4573810817789134,full_model_unseen_pool
job_080_Mn_fe_-1.081_n4_generated_crystals_cif__gen_3,0.2457993203156838,full_model_unseen_pool
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,0.1611331325078833,shallow_gradient_boosting_OOF
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_2,0.739379549973265,full_model_unseen_pool
job_085_Mg_fe_-0.837_n4_generated_crystals_cif__gen_2,0.3103046147981195,full_model_unseen_pool
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_0,0.5126508023981395,full_model_unseen_pool
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_1,0.5518682666052884,full_model_unseen_pool
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_2,0.7698396832756944,shallow_gradient_boosting_OOF
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_3,0.2322090795625195,full_model_unseen_pool
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_0,0.6881375583865521,full_model_unseen_pool
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_2,0.5597260729137266,full_model_unseen_pool
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_3,0.7479777658431975,full_model_unseen_pool
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_0,0.6496636058569562,full_model_unseen_pool
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_1,0.7304032498093862,full_model_unseen_pool
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_2,0.8819052145002622,full_model_unseen_pool
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_3,0.7402244082234678,full_model_unseen_pool
